title,doc_type,doc_id,year,date,page,paragraph_id,text,fiscal_risk_score,risk_index
Informe N° 04-2025-CF – Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico Multianual 2026-2029,Informe,4.0,2025,2025-08-29,13,47,"Para 2026, año para el cual se está formulando el presupuesto, el CF nota que el GNFGG deberá crecer únicamente 0,4% en términos reales, lo cual configura un crecimiento austero del gasto público. En ese sentido, el CF considera importante que la formulación y aprobación del presupuesto del año 2026 sean consistentes con dicho crecimiento del gasto y que no se vea expuesto a presiones de gasto adicionales. El CF considera que mantener esa prudencia en el crecimiento del gasto resulta importante para avanzar en el proceso de consolidación fiscal en un contexto macroeconómico auspicioso, como el previsto en el MMM. El CF recuerda que dicho escenario macroeconómico base prevé un contexto internacional favorable con precios de materias primas en niveles históricamente altos, en el que no se anticipan choques adversos y un crecimiento económico local por encima de su potencial, por lo cual no se requeriría una política fiscal expansiva.",1,0.2
Informe N° 04-2025-CF – Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico Multianual 2026-2029,Informe,4.0,2025,2025-08-29,13,49,"El CF nota que en el rubro remuneraciones el incremento nominal para 2026 es de S/ 2,1 mil millones, el cual es marcadamente inferior al registrado en los últimos dos años. Si bien ese incremento es consistente con la necesidad de avanzar en el proceso de consolidación fiscal y con la menor inflación promedio, no parece guardar consistencia con las medidas adoptadas a la fecha en materia remunerativa. En particular, el CF observa que para 2026, una gran parte de ese espacio para incremento del gasto en remuneraciones ya se ha comprometido con medidas de incrementos salariales, pues S/1,8 mil millones (86% del incremento total previsto para dicho rubro) corresponden a gasto adicional en remuneraciones que se destinarían a incrementos para el personal militar y policial, y el financiamiento del convenio colectivo centralizado.",2,0.4
Informe N° 04-2025-CF – Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico Multianual 2026-2029,Informe,4.0,2025,2025-08-29,14,26,"Para facilitar el seguimiento al cumplimiento de las reglas fiscales en 2025, el CF exhorta a incluir en el MMM una sección que presente proyecciones fiscales para el año en curso, con una frecuencia mensual o trimestral. Ello permitiría identificar, de forma anticipada, posibles desvíos en la trayectoria de los distintos agregados fiscales y adoptar medidas correctivas oportunas. Esta práctica adquiere especial relevancia en un contexto en el que ya se han registrado dos años consecutivos de incumplimiento de las reglas fiscales, y en el que los mecanismos formales de seguimiento de las reglas fiscales (como los reportes trimestrales de seguimiento de tales reglas) no han mostrado ser efectivos.",4,0.8
Informe N° 04-2025-CF – Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico Multianual 2026-2029,Informe,4.0,2025,2025-08-29,15,52,"En ausencia de medidas concretas de consolidación fiscal orientadas a incrementar los ingresos permanentes y contener las presiones por mayor gasto público, el CF considera poco creíble el cumplimiento de la senda de déficit y de las reglas fiscales a partir de 2026.",4,0.8
Informe N° 04-2025-CF – Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico Multianual 2026-2029,Informe,4.0,2025,2025-08-29,15,56,"Respecto a la proyección de la deuda pública, el CF resalta que la trayectoria 2025-2029 está condicionada al cumplimiento de la senda de déficit fiscal y a los supuestos macroeconómicos considerados para dicho periodo, así como a la posible materialización de contingencias. En ese sentido, deben tenerse en cuenta los distintos riesgos que podrían llevar a desviaciones significativas en la trayectoria de la deuda pública y a un mayor pago de intereses, todo ello pudiendo afectar seriamente la sostenibilidad en el mediano y largo plazo. Frente a ello, el CF reitera la necesidad de implementar medidas de consolidación fiscal en el corto plazo, a fin de facilitar el control de la deuda pública y la carga de los intereses sobre el presupuesto.",5,1.0
Informe N° 04-2025-CF – Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico Multianual 2026-2029,Informe,4.0,2025,2025-08-29,16,44,"Más allá del horizonte de proyección del MMM, el CF reitera que reducir la deuda pública por debajo del umbral de 30% del PBI requiere de la generación de resultados primarios superavitarios durante periodos de tiempo prolongados. Bajo un cumplimiento estricto de las proyecciones macroeconómicas y fiscales del MMM, la deuda podría reducirse hasta alcanzar el 29,8% del PBI en 2032, pero para ello se requiere mantener un superávit primario promedio de al menos 0,4% del PBI entre 2025 y 2032, una cifra no observada desde el año 2014. Tal esfuerzo en términos de resultado primario no solo responde al proceso de consolidación, sino también al incremento de la carga de los intereses en la última década (de 1,0% del PBI en 2015 a 1,7% del PBI en 2024), producto del incremento de la deuda pública en dicho periodo. En ese sentido, el CF destaca la importancia de reducir la deuda pública, lo que permitiría también reducir la carga de los intereses sobre el presupuesto público y el tamaño del esfuerzo para cumplir con la regla fiscal sobre la deuda en el mediano plazo. Para ello, el CF reitera que se requiere de un compromiso a lo largo de múltiples administraciones gubernamentales para la implementación de reformas que aseguren el control del gasto público y la generación de mayores ingresos permanentes.",4,0.8
Informe N° 04-2025-CF – Opinión del Consejo Fiscal sobre el proyecto de Marco Macroeconómico Multianual 2026-2029,Informe,4.0,2025,2025-08-29,17,30,"En cuanto al análisis de riesgos fiscales, el CF reitera la importancia de continuar con el monitoreo de varios riesgos identificados y evaluados en el MMM, pues se considera que siguen siendo relevantes y latentes. Estos riesgos incluyen la incertidumbre del contexto internacional, la exposición a pasivos contingentes explícitos, la sensibilidad de la deuda a variaciones cambiarias, la materialización de choques macroeconómicos, entre otros. No obstante, el CF considera que existen riesgos específicos, tanto explícitos como implícitos, que han sido omitidos o poco profundizados y que, dada su relevancia, deberían ser rigurosamente evaluados como parte del análisis del MMM.",4,0.8
Comunicado N° 06-2025-CF – El Consejo Fiscal alerta sobre los crecientes riesgos por la proliferación de leyes con impacto fiscal adverso e insta a revertir con urgencia esta situación,Comunicado,6.0,2025,2025-10-21,1,21,"El Consejo Fiscal (CF), en el marco de su mandato de contribuir con una gestión fiscal responsable y sostenible, expresa su profunda preocupación ante la continua promulgación de leyes con impacto fiscal adverso que incrementan el gasto público, sin una fuente de financiamiento identificable, o reducen la capacidad de recaudar ingresos fiscales. Esta práctica ha erosionado significativamente los fundamentos de la responsabilidad fiscal y hoy coloca al país en una probable senda de insostenibilidad de la deuda pública que, de no corregirse urgentemente, generará una situación de inestabilidad macroeconómica, alzas en los costos de financiamiento para el Estado, las empresas y los hogares, y la necesidad de significativos ajustes fiscales futuros. El CF considera que esta situación refleja la ausencia de compromiso de las autoridades con los principios básicos de responsabilidad fiscal, poniendo en riesgo la fortaleza fiscal que ha sido determinante para el desempeño macroeconómico del país durante las últimas décadas y sustento esencial del grado de inversión.",5,1.0
Comunicado N° 06-2025-CF – El Consejo Fiscal alerta sobre los crecientes riesgos por la proliferación de leyes con impacto fiscal adverso e insta a revertir con urgencia esta situación,Comunicado,6.0,2025,2025-10-21,3,10,"Dado que estas medidas generan impactos fiscales adversos con carácter permanente o de largo plazo, su impacto sobre la deuda pública es acumulativo en el tiempo, razón por la cual, cuando sean evidentes sus consecuencias agregadas, la senda fiscal ya podría encontrarse irreversiblemente comprometida, con la deuda pública adoptando una tendencia creciente e insostenible, según simulaciones de la DEM-STCF. Hacia 2036, la deuda pública podría ser superior a la prevista en el MMM en más de 40 puntos porcentuales del PBI (ver gráfico N 2.B). Esto evidencia que se está gestando un severo problema de insostenibilidad fiscal que tendrá que ser enfrentado por las próximas administraciones de gobierno, el cual se explica tanto por las leyes ya promulgadas, como por el riesgo latente de que el actual parlamento continue promulgando medidas que comprometan la estabilidad macroeconómica y trasladen a la población el costo de decisiones adoptadas sin un análisis de capacidad presupuestaria.",5,1.0
Comunicado N° 06-2025-CF – El Consejo Fiscal alerta sobre los crecientes riesgos por la proliferación de leyes con impacto fiscal adverso e insta a revertir con urgencia esta situación,Comunicado,6.0,2025,2025-10-21,3,11,"Las presiones fiscales ya generadas por leyes promulgadas, pero aún no incorporadas en presupuestos ni en el Marco Macroeconómico Multianual (MMM), bajo supuestos conservadores, ya sugieren déficits fiscales inconsistentes con la estabilización de la trayectoria de deuda pública, deviniendo en una senda fiscal insostenible (ver gráfico N 2.A). Si a ello se suman las iniciativas con impacto fiscal actualmente en proceso de aprobación en el Congreso de la República, dicha senda se tornaría explosiva.",5,1.0
Comunicado N° 06-2025-CF – El Consejo Fiscal alerta sobre los crecientes riesgos por la proliferación de leyes con impacto fiscal adverso e insta a revertir con urgencia esta situación,Comunicado,6.0,2025,2025-10-21,5,5,"El Consejo Fiscal considera que el TC podría evaluar la incorporación de criterios de equilibrio presupuestario y sostenibilidad fiscal en sus decisiones y por lo tanto expresa su disposición a  De igual manera, el CF insta al Tribunal Constitucional (TC) a considerar cómo garantizar el cumplimiento efectivo de la prohibición constitucional que impide al Congreso promulgar medidas que generen gasto público. En ese sentido resulta necesario precisar la interpretación que limita dicha prohibición únicamente a los casos que afectan el equilibrio financiero del presupuesto vigente y reafirmar, como mínimo, que para que una norma que genere gasto público no vulnere la Constitución debe existir una coordinación real y efectiva entre los poderes Ejecutivo y Legislativo.",3,0.6
Comunicado N° 06-2025-CF – El Consejo Fiscal alerta sobre los crecientes riesgos por la proliferación de leyes con impacto fiscal adverso e insta a revertir con urgencia esta situación,Comunicado,6.0,2025,2025-10-21,5,6,"El CF subraya que la responsabilidad por la proliferación de leyes con impacto fiscal adverso no recae únicamente en el Poder Legislativo. El Poder Ejecutivo también tiene la obligación de salvaguardar la sostenibilidad fiscal, formulando de manera oportuna observaciones técnicas fundamentadas, transparentando los costos fiscales de las iniciativas y, cuando corresponda, de haber fundamentos constitucionales, presentando acciones de inconstitucionalidad ante el Tribunal Constitucional. La omisión de estas acciones genera presiones adicionales sobre las cuentas fiscales y debilita la disciplina presupuestaria. En repetidas ocasiones el Ejecutivo ha renunciado a ejercer esta oposición, tal es el caso que, en el presente periodo parlamentario, más del 56% del total de leyes con impacto fiscal identificadas (128 leyes), no fueron observadas por el Poder Ejecutivo. Asimismo, a pesar del elevado número de leyes que generan incrementos permanentes en el gasto público, desde 2021, durante la pasada administración de gobierno solo se presentaron 3 demandas de inconstitucionalidad (la última en diciembre de 2023). Incluso normas con importantes costos fiscales fueron promulgadas sin objeción del Ejecutivo, entre las cuales se encuentran: (i) La Ley N 31495 que ordena el pago del beneficio por preparación de clases a los docentes, que implicaría un gasto (transitorio) de aproximadamente S/ 40 mil millones; (ii) La ley N 32123, modificada recientemente mediante la ley N 32445, que aprobó la reforma del sistema previsional, que brinda entre otros el beneficio de la pensión mínima para los afiliados al Sistema Privado de Pensiones y sobre la cual el MEF estimó que podría generar incrementos en el gasto público de hasta 1,1% del PBI, y (iii) la Ley N 32434, que otorga beneficios tributarios al sector agrario, pese a contar con opinión en contra del MEF y contravenir principios elementales de política tributaria y la Norma VII del Código Tributario. se suman las presiones que generan los anuncios del Poder Ejecutivo de llevar a cabo de forma simultánea diversos megaproyectos de infraestructura con un alto componente de cofinanciamiento estatal. En este contexto de amplia exposición a riesgos, el CF reitera la importancia de priorizar el proceso de consolidación fiscal, con el fin de recuperar activos líquidos, estabilizar la trayectoria de endeudamiento público y ceñirse a las limitaciones del espacio fiscal disponible en el mediano y largo plazo consistentes con la sostenibilidad fiscal. De esta forma, el Estado estará en capacidad, como se ha hecho en el pasado, de enfrentar la materialización de eventos con impactos negativos significativos, tales como desastres naturales, crisis internacionales, entre otros.",5,1.0
Comunicado N° 06-2025-CF – El Consejo Fiscal alerta sobre los crecientes riesgos por la proliferación de leyes con impacto fiscal adverso e insta a revertir con urgencia esta situación,Comunicado,6.0,2025,2025-10-21,6,2,"Asimismo, en adelante, recomienda que toda norma con impacto fiscal cuente con una adecuada cuantificación de su costo y que se precise de manera explícita la fuente de recursos con la que se financiará, ya sea mediante un aumento de impuestos o una reducción de gastos en otras áreas. El CF recuerda que la situación de las finanzas públicas se ha venido deteriorando de manera progresiva en los últimos años, como lo evidencian los aumentos significativos de la deuda pública bruta y, sobre todo, la neta, el mayor peso del pago de intereses en el presupuesto, los incumplimientos de las reglas fiscales por dos años consecutivos y las rebajas en las calificaciones crediticias de la deuda soberana. De continuar en esta trayectoria, el país enfrentará crecientes riesgos de vulnerabilidad e insostenibilidad fiscal, con consecuencias que recaerán sobre la población en su conjunto.",5,1.0
Comunicado N° 06-2025-CF – El Consejo Fiscal alerta sobre los crecientes riesgos por la proliferación de leyes con impacto fiscal adverso e insta a revertir con urgencia esta situación,Comunicado,6.0,2025,2025-10-21,6,22,"Finalmente, el CF enfatiza que la disciplina fiscal constituye un pilar esencial para preservar la estabilidad macroeconómica, atraer inversión privada, impulsar el crecimiento económico, generar empleo, reducir la pobreza y cerrar brechas sociales. Es fundamental, además, para mantener la calificación crediticia de grado de inversión del país. Desatender este principio implicaría retroceder décadas de avances en estabilidad macroeconómica, exponer al país a una trayectoria creciente e insostenible de deuda pública, mayores costos de financiamiento y la necesidad de eventuales ajustes fiscales significativos que inevitablemente afectarán a la ciudadanía, a través de una menor cobertura y calidad de bienes y servicios públicos, ya de por si insatisfactoria, y en la capacidad del Estado de cerrar progresivamente las brechas sociales y de infraestructura. Por ello, el CF nuevamente exhorta a los legisladores, a las autoridades del Poder Ejecutivo y a los intérpretes de la Constitución a asumir con responsabilidad y sentido de urgencia la tarea de proteger la sostenibilidad fiscal del país, reevaluando normas ya promulgadas e iniciativas en curso, evitando de esta manera que decisiones de corto plazo comprometan el bienestar de largo plazo de los peruanos.",5,1.0
